Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,ML,Close,,,,,,
320,901,N,SEA,MGONZALES-L,0,0,5,1,3,0,0,0,0,9,107,120,,,,,,
320,902,N,OAK,MFIERS-R,1,1,2,0,0,0,3,0,0,7,-127,-130,,,,,,
321,903,N,SEA,YKIKUCHI-L,0,2,1,0,0,0,1,0,0,5,109,-125,,,,,,
321,904,N,OAK,MESTRADA-R,0,0,0,0,2,0,2,0,0,4,-129,115,,,,,,
328,905,V,NYM,JDEGROM-R,1,0,0,0,0,0,0,1,0,2,110,115,,,,,,
328,906,H,WAS,MSCHERZER-R,0,0,0,0,0,0,0,0,0,0,-121,-125,,,,,,
328,907,V,STL,MMIKOLAS-R,0,3,0,0,0,0,1,0,0,4,104,104,,,,,,
328,908,H,MIL,JCHACIN-R,0,1,3,0,1,0,0,0,x,5,-114,-114,,,,,,
328,909,V,ATL,JTEHERAN-R,0,1,0,0,0,0,2,1,0,4,170,170,,,,,,
328,910,H,PHI,ANOLA-R,1,0,0,2,0,3,4,0,x,10,-190,-185,,,,,,
328,911,V,PIT,JTAILLON-R,0,0,0,0,0,2,0,1,0,3,105,107,,,,,,
328,912,H,CIN,LCASTILLO-R,0,1,0,0,0,0,4,0,x,5,-115,-117,,,,,,
328,913,V,ARI,ZGREINKE-R,0,0,0,0,0,1,1,0,3,5,144,155,,,,,,
328,914,H,LAD,HRYU-L,1,2,0,4,0,2,3,0,x,12,-160,-165,,,,,,
328,915,V,SFO,MBUMGARNER-L,0,0,0,0,0,0,0,0,0,0,-114,117,,,,,,
328,916,H,SDG,ELAUER-L,0,0,1,0,0,1,0,0,x,2,104,-127,,,,,,
328,917,V,COL,KFREELAND-L,0,0,0,4,2,0,0,0,0,6,-145,-135,,,,,,
328,918,H,MIA,JURENA-R,0,0,0,0,0,1,0,1,1,3,131,125,,,,,,
328,919,V,BAL,ACASHNER-R,0,0,0,1,0,1,0,0,0,2,296,320,,,,,,
328,920,H,NYY,MTANAKA-R,3,0,1,0,2,0,0,1,x,7,-340,-380,,,,,,
328,921,V,DET,JZIMMERMANN-R,0,0,0,0,0,0,0,0,0,2,126,132,,,,,,
328,922,H,TOR,MSTROMAN-R,0,0,0,0,0,0,0,0,0,0,-140,-142,,,,,,
328,923,V,HOU,JVERLANDER-R,0,0,3,1,1,0,0,0,0,5,-121,-128,,,,,,
328,924,H,TAM,BSNELL-L,1,0,0,0,0,0,0,0,0,1,110,118,,,,,,
328,925,V,LAA,TCAHILL-R,0,0,0,0,0,0,0,0,0,0,110,-108,,,,,,
328,926,H,OAK,MFIERS-R,0,1,1,1,0,1,0,0,x,4,-121,-102,,,,,,
328,927,V,CLE,CKLUBER-R,0,0,0,0,0,0,0,0,0,0,-135,107,,,,,,
328,928,H,MIN,JBERRIOS-R,0,0,0,0,0,0,2,0,x,2,122,-117,,,,,,
328,929,V,CWS,CRODON-L,0,0,0,0,0,0,0,0,3,3,104,106,,,,,,
328,930,H,KAN,BKELLER-R,0,0,0,1,0,2,2,0,x,5,-114,-116,,,,,,
328,931,V,BOS,CSALE-L,1,1,0,0,0,2,0,0,0,4,-185,-210,,,,,,
328,932,H,SEA,MGONZALES-L,0,3,4,0,1,2,2,0,x,12,166,190,,,,,,
328,933,V,CUB,JLESTER-L,0,0,0,1,6,2,1,2,0,12,-135,-115,,,,,,
328,934,H,TEX,MMINOR-L,0,0,2,0,0,0,0,0,2,4,122,105,,,,,,
329,951,V,COL,GMARQUEZ-R,0,0,0,0,0,1,1,0,4,6,-155,-152,,,,,,
329,952,H,MIA,TRICHARDS-R,0,0,0,1,0,0,0,0,0,1,135,142,,,,,,
329,953,V,STL,JFLAHERTY-R,3,0,0,1,0,1,3,1,0,9,106,-108,,,,,,
329,954,H,MIL,FPERALTA-R,0,0,3,1,0,0,0,1,0,5,-126,-102,,,,,,
329,955,V,SFO,DHOLLAND-L,0,0,0,0,0,0,0,0,1,1,130,145,,,,,,
329,956,H,SDG,JLUCCHESI-L,0,2,1,0,1,0,0,0,x,4,-150,-155,,,,,,
329,957,V,ARI,RRAY-L,0,0,0,0,0,0,3,1,0,5,144,160,,,,,,
329,958,H,LAD,RSTRIPLING-R,0,1,2,0,0,0,1,0,0,4,-165,-170,,,,,,
329,959,V,DET,MBOYD-L,0,0,0,0,0,0,0,0,0,0,115,111,,,,,,
329,960,H,TOR,MSHOEMAKER-R,0,0,0,4,0,0,2,0,x,6,-135,-121,,,,,,
329,961,V,HOU,GCOLE-R,0,0,2,0,0,0,0,0,0,2,-145,-138,,,,,,
329,962,H,TAM,CMORTON-R,0,0,3,0,0,1,0,0,x,4,125,128,,,,,,
329,963,V,LAA,MHARVEY-R,0,0,0,0,0,0,0,4,2,6,101,-109,,,,,,
329,964,H,OAK,MESTRADA-R,0,0,0,0,0,2,0,0,0,2,-121,-101,,,,,,
329,965,V,BOS,NEOVALDI-R,0,1,0,0,1,1,0,1,3,7,-150,-139,,,,,,
329,966,H,SEA,YKIKUCHI-L,2,1,0,3,0,0,0,0,0,6,130,129,,,,,,
330,901,V,NYM,NSYNDERGAARD-R,3,1,0,0,0,0,0,4,3,11,110,102,,,,,,
330,902,H,WAS,SSTRASBURG-R,1,0,2,0,0,1,0,0,4,8,-130,-112,,,,,,
330,905,V,ATL,BWILSON-R,1,2,0,0,1,0,0,0,2,6,125,135,,,,,,
330,906,H,PHI,NPIVETTA-R,0,1,0,3,2,0,1,1,x,8,-145,-145,,,,,,
330,907,V,COL,TANDERSON-L,0,0,2,0,0,1,0,0,0,3,-145,-128,,,,,,
330,908,H,MIA,PLOPEZ-R,0,2,0,3,0,0,2,0,x,7,125,118,,,,,,
330,909,V,STL,DHUDSON-R,0,0,1,1,0,0,0,0,0,2,105,122,,,,,,
330,910,H,MIL,BWOODRUFF-R,1,0,3,0,0,0,0,0,x,4,-125,-132,,,,,,
330,911,V,SFO,DRODRIGUEZ-R,0,0,0,0,0,3,0,0,0,3,105,120,,,,,,
330,912,H,SDG,NMARGEVICIUS-L,0,0,0,0,0,2,0,0,0,2,-125,-130,,,,,,
330,913,V,ARI,ZGODLEY-R,1,0,0,0,1,0,1,2,0,5,151,177,,,,,,
330,914,H,LAD,KMAEDA-R,1,0,4,0,1,5,0,7,x,18,-175,-194,,,,,,
330,915,V,BAL,NKARNS-R,0,0,0,0,0,2,1,0,2,5,299,340,,,,,,
330,916,H,NYY,JPAXTON-L,0,0,0,1,0,0,0,0,2,3,-375,-410,,,,,,
330,917,V,CLE,TBAUER-R,0,0,0,1,0,0,0,0,1,2,-110,-120,,,,,,
330,918,H,MIN,JODORIZZI-R,0,0,0,1,0,0,0,0,0,1,-110,110,,,,,,
330,919,V,CWS,RLOPEZ-R,0,0,0,0,0,3,3,0,0,6,-105,120,,,,,,
330,920,H,KAN,JJUNIS-R,0,0,3,0,1,4,0,0,x,8,-115,-130,,,,,,
330,921,V,DET,STURNBULL-R,0,0,0,0,0,0,0,0,0,0,120,116,,,,,,
330,922,H,TOR,ASANCHEZ-R,0,0,0,3,0,0,0,0,x,3,-140,-126,,,,,,
330,923,V,HOU,CMCHUGH-R,1,0,0,0,0,0,0,0,0,1,-130,-118,,,,,,
330,924,H,TAM,TGLASNOW-R,0,0,0,0,2,0,0,1,x,3,110,108,,,,,,
330,925,V,LAA,FPENA-R,0,0,0,0,0,0,0,2,0,2,105,109,,,,,,
330,926,H,OAK,BANDERSON-L,0,0,2,2,0,0,0,0,x,4,-125,-119,,,,,,
330,927,V,BOS,ERODRIGUEZ-L,0,1,1,0,0,0,0,0,3,5,-150,-158,,,,,,
330,928,H,SEA,MLEAKE-R,2,0,0,1,3,0,0,0,x,6,130,148,,,,,,
330,929,V,CUB,YDARVISH-R,3,0,1,0,2,0,0,0,0,6,-150,-155,,,,,,
330,930,H,TEX,EVOLQUEZ-R,0,1,2,0,0,0,2,3,x,8,130,145,,,,,,
331,951,V,PIT,JMUSGROVE-R,1,1,1,0,0,0,0,2,0,5,120,125,,,,,,
331,952,H,CIN,SGRAY-R,0,0,0,0,0,0,0,0,0,0,-140,-135,,,,,,
331,953,V,COL,JGRAY-R,0,0,0,0,0,0,0,0,0,0,-150,-158,,,,,,
331,954,H,MIA,SALCANTARA-R,0,0,0,2,0,0,1,0,x,3,130,148,,,,,,
331,955,V,NYM,ZWHEELER-R,0,0,1,0,0,1,0,3,0,5,110,155,,,,,,
331,956,H,WAS,PCORBIN-L,0,0,3,0,1,1,0,0,1,6,-130,-165,,,,,,
331,957,V,STL,MWACHA-R,0,0,0,2,2,0,0,0,0,4,100,100,,,,,,
331,958,H,MIL,CBURNES-R,1,0,0,0,0,0,2,0,2,5,-120,-110,,,,,,
331,959,V,ARI,LWEAVER-R,0,0,0,7,0,0,0,0,0,7,192,177,,,,,,
331,960,H,LAD,WBUEHLER-R,3,0,1,1,0,0,0,3,x,8,-230,-194,,,,,,
331,961,V,SFO,JSAMARDZIJA-R,0,0,0,0,1,0,0,0,0,1,125,162,,,,,,
331,962,H,SDG,CPADDACK-R,0,0,0,0,1,0,1,1,x,3,-145,-174,,,,,,
331,963,V,ATL,KWRIGHT-R,0,0,1,0,0,0,0,0,0,1,130,130,,,,,,
331,964,H,PHI,JARRIETA-R,0,0,1,0,2,0,2,0,x,5,-150,-140,,,,,,
331,965,V,BAL,DBUNDY-R,3,0,1,0,1,0,0,2,0,7,281,280,,,,,,
331,966,H,NYY,JHAPP-L,0,0,0,3,0,0,1,0,1,5,-350,-320,,,,,,
331,967,V,DET,MMOORE-L,0,0,0,0,0,0,3,0,0,4,115,142,,,,,,
331,968,H,TOR,TTHORNTON-R,0,0,0,0,0,0,0,3,0,3,-135,-152,,,,,,
331,969,V,HOU,WMILEY-L,0,0,1,0,0,0,0,0,0,1,-119,-113,,,,,,
331,970,H,TAM,YCHIRINOS-R,1,0,2,0,0,0,0,0,x,3,-101,103,,,,,,
331,971,V,CLE,CCARRASCO-R,0,0,0,0,0,0,0,3,0,3,-115,-110,,,,,,
331,972,H,MIN,MPINEDA-R,0,1,0,2,5,0,0,1,x,9,-105,100,,,,,,
331,973,V,CWS,LGIOLITO-R,0,0,0,2,0,2,2,0,0,6,-105,117,,,,,,
331,974,H,KAN,JLOPEZ-R,0,0,0,0,0,0,2,1,0,3,-115,-127,,,,,,
331,975,V,LAA,TSKAGGS-L,0,0,0,0,0,1,0,0,0,1,-110,114,,,,,,
331,976,H,OAK,FMONTAS-R,0,0,0,1,1,0,0,0,x,2,-110,-124,,,,,,
331,977,V,BOS,RPORCELLO-R,3,0,0,3,0,1,0,0,1,8,-150,-136,,,,,,
331,978,H,SEA,WLEBLANC-L,0,2,7,1,0,0,0,0,x,10,130,126,,,,,,
331,979,V,CUB,CHAMELS-L,0,1,2,1,0,4,0,2,0,10,-155,-130,,,,,,
331,980,H,TEX,LLYNN-R,0,0,0,5,0,1,4,0,1,11,135,120,,,,,,
401,901,V,STL,AWAINWRIGHT-R,0,0,0,0,0,0,3,1,1,6,110,116,,,,,,
401,902,H,PIT,CARCHER-R,3,0,1,0,0,0,0,1,0,5,-130,-126,,,,,,
401,903,V,MIL,ZDAVIES-R,3,0,0,0,0,0,0,0,1,4,105,-109,,,,,,
401,904,H,CIN,TROARK-R,0,0,0,0,2,1,0,0,0,3,-125,-101,,,,,,
401,905,V,CUB,KHENDRICKS-R,0,0,0,0,0,0,0,0,0,0,-115,100,,,,,,
401,906,H,ATL,SNEWCOMB-L,4,0,1,0,2,1,0,0,x,8,-105,-110,,,,,,
401,907,V,NYM,SMATZ-L,0,1,0,1,0,0,1,0,4,7,-150,-125,,,,,,
401,908,H,MIA,CSMITH-L,2,0,0,0,0,1,0,0,0,3,130,115,,,,,,
401,909,V,SFO,DPOMERANZ-L,0,0,0,0,0,1,3,0,0,4,172,185,,,,,,
401,910,H,LAD,JURIAS-L,0,0,0,0,2,0,0,0,0,2,-205,-205,,,,,,
401,911,V,ARI,MKELLY-R,2,1,2,0,4,0,1,0,0,10,140,155,,,,,,
401,912,H,SDG,MSTRAHM-L,0,0,0,0,0,3,0,0,0,3,-160,-165,,,,,,
401,913,V,CWS,INOVA-R,0,0,0,0,0,0,0,3,0,3,148,150,,,,,,
401,914,H,CLE,MCLEVINGER-R,0,0,0,0,0,1,0,4,x,5,-170,-160,,,,,,
401,915,V,DET,TROSS-R,0,0,0,1,0,0,0,0,0,1,176,190,,,,,,
401,916,H,NYY,DGERMAN-R,0,1,1,0,1,0,0,0,x,3,-210,-210,,,,,,
401,917,V,BAL,DHESS-R,4,1,0,0,0,0,1,0,0,6,144,163,,,,,,
401,918,H,TOR,SREID-FOLEY-R,0,0,0,0,0,0,2,1,2,5,-165,-176,,,,,,
401,919,V,HOU,BPEACOCK-R,1,0,0,0,0,1,0,0,0,2,-165,-165,,,,,,
401,920,H,TEX,DSMYLY-L,0,0,1,0,0,0,0,0,0,1,144,155,,,,,,
401,921,V,BOS,DPRICE-L,0,0,0,0,0,0,0,0,0,0,-140,-140,,,,,,
401,922,H,OAK,ABROOKS-R,0,1,1,0,0,2,0,3,x,7,120,130,,,,,,
401,923,V,LAA,CSTRATTON-R,0,1,0,2,0,0,0,0,0,3,-110,-103,,,,,,
401,924,H,SEA,FHERNANDEZ-R,4,0,0,0,0,0,2,0,x,6,-110,-107,,,,,,
401,925,V,COL,CBETTIS-R,0,0,0,0,0,1,0,0,0,1,118,135,,,,,,
401,926,H,TAM,RSTANEK-R,0,0,0,3,0,3,1,0,x,7,-138,-145,,,,,,
402,951,V,MIL,JCHACIN-R,0,0,1,0,0,3,0,0,0,4,-121,-110,,,,,,
402,952,H,CIN,ADESCLAFANI-R,0,0,0,1,0,1,0,1,0,3,101,100,,,,,,
402,953,V,PHI,ZEFLIN-R,0,1,0,1,0,4,0,2,0,8,173,165,,,,,,
402,954,H,WAS,MSCHERZER-R,0,0,0,0,0,2,0,0,0,2,-206,-180,,,,,,
402,955,V,NYM,JVARGAS-L,5,0,0,0,0,0,1,0,0,6,-126,-136,,,,,,
402,956,H,MIA,JURENA-R,1,0,0,0,1,0,2,1,0,5,106,126,,,,,,
402,957,V,ARI,ZGREINKE-R,0,0,0,4,0,2,1,1,0,8,-111,106,,,,,,
402,958,H,SDG,ELAUER-L,2,0,0,0,0,1,2,0,0,5,-109,-116,,,,,,
402,959,V,SFO,MBUMGARNER-L,0,0,0,0,0,2,0,0,3,5,152,146,,,,,,
402,960,H,LAD,HRYU-L,0,0,5,0,0,0,1,0,x,6,-176,-156,,,,,,
402,961,V,DET,JZIMMERMANN-R,0,0,0,0,0,1,0,0,2,3,208,205,,,,,,
402,962,H,NYY,MTANAKA-R,0,1,0,0,0,0,0,0,0,1,-251,-230,,,,,,
402,963,V,BAL,ACASHNER-R,0,0,0,0,0,2,0,0,0,2,177,162,,,,,,
402,964,H,TOR,MSTROMAN-R,0,0,0,0,0,0,0,0,1,1,-211,-174,,,,,,
402,965,V,HOU,JVERLANDER-R,1,1,0,0,1,1,0,0,0,4,-221,-220,,,,,,
402,966,H,TEX,SMILLER-R,0,2,0,0,2,0,2,0,x,6,184,200,,,,,,
402,967,V,MIN,JBERRIOS-R,0,0,0,1,2,0,0,0,1,5,-141,-145,,,,,,
402,968,H,KAN,BKELLER-R,1,0,0,1,0,1,0,1,0,4,121,135,,,,,,
402,969,V,BOS,CSALE-L,0,0,0,0,0,0,0,0,0,0,-171,-170,,,,,,
402,970,H,OAK,MFIERS-R,1,0,0,0,0,0,0,0,x,1,148,160,,,,,,
402,971,V,LAA,TCAHILL-R,0,1,0,0,0,0,0,0,0,1,101,100,,,,,,
402,972,H,SEA,MGONZALES-L,0,0,0,0,0,1,0,1,x,2,-121,-110,,,,,,
402,973,V,COL,KFREELAND-L,0,0,0,0,0,0,0,0,0,0,131,160,,,,,,
402,974,H,TAM,BSNELL-L,3,0,0,0,0,1,0,0,x,4,-151,-170,,,,,,
